Kalamang_Sentence,English_Translation
Dian esun mu erat barotmani Tatka bot.,Dian's father and associates are turning a canoe going to Tat.
"Sontum me bawang iriskaptenara parin, bawang kerkap ge.","That person sells garlic, not onion."
Mu bawang kerkapten reidak.,They a have lot of onion.
Mayor mu bayamat amdirunggo kawaya.,Mayor and family plant spinach in the garden.
Warkin kararakte bayas se bo iriskapte kaheni bo.,When the tide is low the white sand stretches far.
Bebak yie perbolat pareirte dong.,The ducks ar swimming at the edge of the water in a row.
Bekieman ningda an sirie nene Ruslan paruo.,"My shoulder hurts, I'm sending for Ruslan's grandmother to heal it."
Beladargara mia mangberat belajar.,(She) comes from the Netherlands to learn our language.
Tum me senang ma kewo belajar.,That kid is happy to study at home.
Davit esun galaun kon ba bo belbel.,Davit's father has one spear but it's sharp.
Som yumene belenun kahen.,That person has a long tongue.
Ka bore yuol wabes.,You went this many days.
Burhan mu gol kanggeira ba bet ten.,Burhan and his friends are playing football but the goal is bad.
Bakri emun bintangun se parair ma dodonwaruotkin ba eranun.,"Bakri's mother's tub is broken, she wants to wash clothes but she can't."
Tumtum reidak mu bintulak jiere ba pasorte natkin.,Many children are catching tilefish which they want to fry and eat.
Warkin emun kararak Tamandi emun mu birbir tup.,When the tide is very low Tamandi's mother and friends go fishing for small fish with poisonous root.
Tata Nostala pawanat parair La Deka bitko.,"Grandfather Nostal splits planks, La Deka carries them on his shoulder."
Eline beladarga yecieni bot. Ma minde bo godung ma koi marmar.,"She slept until the morning, then she walked."
Som yumene toni tumun yumene boda.,That person says that kid is stupid.
"Mei o, bolkoyalkin.","Come, eat."
Nabil emun bolkulun lalang.,Nabil's mother has sore lips.
An tok boloni muapkin.,I eat a little first.
Mier Yaban esaunbona garunggarung.,He is talking with Yaban's father.
Ka nebara bonasausau reba?,What are you doing?
Mu rorap owara bonasauwuo paruo.,They are making the foundation over there.
Mama leba erunat borte pawankin.,Uncle imam is drilling his canoe for planks.
"Munggaruok mambara, kon borara, eir epkadok.","They three stand, one in the front, two in the back."
Tumun yumene se mat boubou ye tok?,"That kid, is it bathed yet or not?"
Bal imene sikanara koboukbouk.,That dog is barking at a cat.
Ma sekolain ba buk saerak.,He wants to go to school but he doesn't have a book.
Kiba mu bunga arun bo reidak pusun kerkapten.,Kiba's family have a lot of blossom with red flowers.
Banda mu rorunat merengguende bo bungbung.,Banda and they are gathering wood in a high heap.
Sontum Pourgara marua buokparin watko.,People from Faor come to sell betel here.
Kuek go saunet me pararuo wieat burbur.,"In the evening, the fruit bats fly hitting mangoes."
Busbus kon ma ror poskoa amkeit.,A parrot laid eggs in the tree hole.
Ma bustangun rasemsem paruo ning.,Her nose pimples make her sick.
Mu but yumenggara marmari bara.,They are walking down those stairs.
"Sorca reidak, an soran bolodak.","You have a lot of fish, I have little fish."
"Keica, Jawaca, Walakaca","Man from Kei, man from Java, man from Gorom."
An kadenan lalangda sirie Binkur esun anat cam.,"I had a fever, I ordered Binkur's father to medicate me."
Canam me watsara reba.,That man is harvesting coconuts.
Kamanget polkayak canamat dorma.,The medicine man cuts a male papaya tree.
Kiba emun cangkirat losing eiri jie.,Kiba's mother bought two dozen cups.
Ema caunbon esa caunbon amdirgara bo impotma reba.,Aunt and uncle are in the garden cutting bananas.
Buokce bon bara elak yawetko.,Bring your betel down there.
"Walaka me cengki reidak, sayang me kurang.","In Gorom there are many clove trees, not so many nutmegs."
Mu coknenenggia sirarai gamutuat paruo.,They are making a broom with hairs from the sugar palm.
Dadir kon eba sonturun me bunga bungare rasa.,There is a striped fish with a nice colored pattern.
Dagim sikana sor meja kerunggoat na.,"The meat, the cat has eaten it from the tabletop."
Irjan jembatan kerungga dalang.,Irjan jumped from the dock.
Tamandi emun kiwat semda bo dalangdalang.,Tamandi's mother was afraid of a snake and jumped around.
Nostal bo damarat parairte lepalepa jonsong kudakudanat paruotkin.,Nostal goes to split callophyllum to make a stand for his boat motor.
Mu bo Tamisengga som dande yecie.,They are going (on a return trip) to bury someone in Antalisa.
Dandang temun metkoa pasat nakukuste.,Steam the rice in a big boiler.
Et me mu yar nawanenda owatko daren.,"That canoe, they loaded stones in it and it sank over there."
Paramuang somat koni owatko dareok.,A crocodile swallowed a person over there.
Sikolatumtum lapanganggoa yuor daruan.,The school children are pulling out weed at the sports field.
Bakri emun daukca se bo Walakangga.,"Bakri's mother, your inlaw went to Gorom."
Malik Banda deir pasieko.,Malik pushed Banda in the water.
Sontum Pakpakatenara mu deir.,They brought people from Fakfak.
Ror yumene ur koura ma dekte ran mian.,"That wood, when the wind blows it moves back and forth."
Belek kon poukta yuonser kosara deledelep.,A floating tin shimmers when the sunrays hit it.
In perlalangat kuarta didir din na.,We were boiling water and the fire burnt the fireplace.
Didirasan me cicaun ba mu didirasun me temun.,"My kitchen is small, but their kitchen is big."
Rajiba emun mu sayangat karuarta diguar se bo.,"Rajiba's mother's family are smokedrying nutmeg, the smoke is rising."
Din susurta ma dikolko.,The fire was burning and she pushed it aside.
Suar pespesat komarukta din se bo paras.,(We are) burning ironwood leftovers and the flames are rising.
Mu dinat upta din songsong reidak.,They kindled a fire and there were many embers.
Mu dinat upta kewe dinan.,They kindled a fire and burnt the house.
Diwadiwal karimunggo reidak.,There are many pandanus at the cape.
"Agus emun ma dodon parin: ladan, kadok, sungsung.","Agus's mother sells clothes: shirts, sarongs, pants."
"Pulor opa ka tura me tamabadok, oskadok?","That betel leaf that you pounded, which side is it from, from the beach?"
Ki koi dokadoka eh.,"You're sitting doing nothing, eh."
Doka kona pararuoni karimunat kuang.,A heron flew round the cape.
Don iriskap koyet neba mindi muap.,"The sugar is finished, what do we eat now."
"Patinun temun, don konkonin, bolodak.","He has a big wound, it doesn't matter, it's just a little."
Don penpen mambon?,Is there sugar?
Don pernananja losing puraman?,How many glasses do you have?
Kalis temunden me don yuolyuol yua me yuolnin.,It rained a lot so the lamps don't burn.
Donenet kuskapkapten bo nasuena nerunggo.,A black ant goes inside the sugar.
Ladan yumet masarura ba donselet tan yuonyuon paruoret.,Rip that shirt so that you can make a cloth for wiping hands.
An kielunat dorman.,I pull out the root.
"Kalis perat olori dorom nerunggo, dorom se mikon.","(We) collect rain water in a drum, the drum is already full."
Nene Ruslan Mustafa emun mukonggara dowipaning.,Ruslan's grandmother asks seeds from Mustafa's mother.
Dudin turi pasaembir nerunggo.,A cockroach fell in the rice bucket.
Mu marmari os koldun bo duk.,They walked until the edge of the beach.
Wowa Nona pingan waruo galas nauduk galas terak.,"Aunt Nona did the dishes, glasses hit each other, the glasses broke."
Godarung se dumang weinun.,The thunder is exploding again.
Ma dunun karuok teya.,He has three male siblings.
Sontom Pakpaka mahara duran parin.,People went to Fakfak to sell durian.
In bo warkin ba erun durcien.,We want to go fishing but our canoe has a hole.
Naman erat durma pokpokat diratkin.,My husband pierced the canoe to install a pokpok-motor.
Mu muapkuar eba metko mu muap.,They cooked and then they ate.
Nar o narta ba merunggo ma loi koyeret.,"Just eat, eat so that it's finished quickly."
Tumun yumene ecuan.,That child is crying.
Rorcat sanggarei!,Search for your plank!
Kokok eir naunatuka.,Two chickens are picking each other.
Bilal esuna eirukte yar kajie.,Bilal's father bends down to pick up stones.
Ka tok kokoat eisteǃ,You expell the chicken first!
Ma me sontum eksueren. Ma don kuek.,He is a thief. He steals stuff.
Mu Hawabon Darfinbon yuol karuonat paruo elat parapara.,"They are organising Hawa and Darfin's third day, (they are) extending a mat."
An bara elak yumengga pasier jie.,I go down there to get seawater.
Ema anggon se somin an tok cicaun.,My mother died when I was small.
Ema anggon cauna Walakangga bara.,My aunt went to Gorom.
Ema temun kadenun lalang.,Aunt has a fever.
Emguguk ewa met me sontoma kaborkoin.,"The ""puke bird"" calls, someone will become pregnant."
Emnem ime nebara paruo? Sorara paruo.,What is that woman doing? She's making fish.
Emumur yume melalu garung deba.,Those women just sit chatting
Emnemtumun kadenun temun eba ma iren.,That child is big and white.
Tol emun mu borani distrika mara eba in epka mara.,"Tol's mother and family went to the mainland first, we went last."
Naman mua epko owa? Urkia mu ba.,Whoe's that in the back there? Urkia and associates.
Elteng me me gareni wiekerungga sara.,That snake is slithering up the tree.
Naman mua eruapta ime? Tumtum ma nautu.,Who's that crying? Those kids are hitting each other.
Nabil esun mua esjie di sorkoin.,Nabil's father and associates are getting ice to put on fish.
Esa he Pakpaka mahara.,Father has come back from Fakfak.
Esa temun ladanat jieni ma.,Uncle bought a shirt for him.
"Esie, mat ture weinun.","Yes, hit him again."
"Esnem me ma he kuatnin, ma he tua.","That old man isn't strong anymore, he's old."
Esnemtumun me he marmar.,That small boy already walks.
Binkur esun bo etpawan deba.,Binkur's father goes to put planks on his canoe.
Pakpaet opa me he bot?,Did those people from Fakfak already leave?
An tok nakalanat sisiret.,I'll comb my hear first.
Lusi eun metko.,There's an eagle's nest there.
Kahamin goras se ewasawe.,The crow talks too much.
Naman mua sayang na ewaromca taluk.,"Who ate the nutmeg, your drool comes out."
Sayang me ewuna he sa.,That nutmeg's base is already dry.
Maimai olunat fakurat.,The bugs destroyed the leaves.
Yuol me sorat fakurat.,That day there was a lot of fish.
"Mu me fam Yarkuran, Yorre ge.","They are Yarkurans, not Yorres."
In sontum Bugiskonggara farlak pawanggi kosalir.,We exchanged tarpauling with planks with Buginese.
Pi Gowienggo me fikfika ewaet me era luin.,When we're at Tana Besar and the palm cockatoo calls a canoe will come.
Somkona oskol owangga filoit.,Someone is whistling on the edge of the beach over there.
Emumur owane melalu sanonggara gaim.,The women over there sit sewing a leaf roof.
Wiseme mu bo gainkajie kuarte na.,"Before, they went to pick mangosteen to cook and eat."
Mama Moktar esun galasie reba.,Uncle Moktar's father is spear-sharpening.
"Wie he galip, ma he puskin.","The manggo is budding, it wants to flower."
Bakul karuogan sor neko.,In all three baskets is fish.
Duran naona ganggangda owa.,One durian fruit is hanging there.
Nabil esun sorara ganggie.,Nabil's father lifts a fish.
Alam esun gantor distrik owa karajang.,Alam's father works on the mainland overthere.
Fikria gareni kalotnerga ra.,Fikri crawls into the room.
Tumtum waruo perat gareori koyet.,The kids are done bathing while pouring water.
Esmumur melalu garung.,The men sit chatting.
An gousat repte minggi kiemparuo.,I'm getting bamboo to make a basket with.
Ma gawaruna ning.,He has ill lungs.
Bala balkahamanat gawar.,The dog smells the dog's ass.
Ruslan emun mu bo Kamburga gayamkajie.,Ruslan's mother and family go to pick Tahitian chestnuts at Kambur.
"Anba ge, ma im met potma.","Not me, he cut that banana."
"Ka wanggara jie? Ge o, pasarga.","did you get (it) from here? No, from the market."
"""Ka nebara paruotkin?"" ""Ge mera an muap teba.""","""What are you doing?"" ""Nothing, I'm eating."""
Mustafa esun belekbon botalbonat manggangda. Ur koura ma genggalong.,Mustafa's father has hung up cans and bottles. When the wind blows it makes a noise.
"Faris emun mat tura, ma genggueng.","Faris's mother hits him, he screams."
Alunbon Jikribon mu bo geries emunara dedesiwaruo.,Alun and Jikri go make a trap for scrubfowls.
"Mu kai tarim polun nanet, get me mu kariat maouet.","They drink nutmeg sap medicine, if not they throw up blood."
Ma ladanun giartenara sabur.,He's wearing his new shirt.
Giarun mu lukta mu tok sontumat komahal.,First time they came they didn't know people yet.
Rehan gierun tur ba giartena kos.,Rehan's tooth fell out but a new one grows.
Ma gierkawierun bengkak.,His gums are swollen.
An gigiwangan se gosomin.,I lost my earrings.
Mu bo arkin ba ginana saerak.,They want to go diving but they don't have a diving mask.
Yuol wa me go he girgir lampur tok yuolnin.,"This day, it was already late afternoon but the lamps weren't lighted."
Burhan mu girawarat oskol owatko kawaya.,Burhan and his friends planted a girawar tree at the edge of the beach over there.
Ma pas met gerket. Emun-esun sukaungge ma mat girgir.,"He asked that woman. His aunts and uncles didn't agree, (so) he ran away with her."
Eba go ginggir giringgining se ewa.,In the late afternoon the bee-eater calls.
Goun yarnener ba goun rasa.,He has a place on the stones but it is a good place.
Go saun in garung deba.,In the evening we chat.
An minda go dungda an parar.,"I slept until morning, then I got up."
Go ginggirta kalis se our.,In the late afternoon it rained.
An dodonara masatkin ba go git git.,I want to dry clothes but it's cloudy.
Yuon darukta go kerkap.,"The sun is going down, it's dusk."
Mu bo go saerak tua reba.,They go live in an empty place.
Go saun kalis our.,At night it rained.
"Wis kalis ourta, opa yua go sir.","Yesterday it rained, today the weather is clear."
"Ikon tok lenggo, bo goyuolte eba mu yecie.",Some are still in the village. In the afternoon they will return.
Burhan mu distrik owa gocie.,Burhan and his friends live on the mainland over there.
Godarunga he durmang go gitgit.,"The thunder rumbles, it's getting cloudy."
Opa saun godelep.,Yesterday night there was lightning.
Mu gogit olunat parua kuar.,They are picking gogit leaves to cook.
An kewe mulunat kabara.,I'm sweeping next to the house.
In tok tumtum gonggung yecie.,We call the kids to return.
Goni met kuru mei ba osat payiemet.,Bring that sack and fill it with sand.
Goparar yua he kap.,This wall is rotten.
Rak yume di goraruo maraouk.,Place that rack in the light.
Goras yume eunara wat kerunggo paruo.,That crow is making a nest in the coconut.
Ka kuskapte nain goraskap.,You are black like a crow.
Pulkayak ime gorun kinkinin.,That papaya has a stalk that doesn't hold.
Gos me arun temun eba ririn.,That gos-plant is big and tall.
Tasan he gosomin.,My bag has disappeared.
An bo gousat repte kiemat paruo.,I'm going to get bamboo to make a basket.
Ruslan emun mu Gowienggo.,Ruslan's mother and family are at Gowien.
Gowienkier eun owatko.,There's a wasp nest over there.
Don arta ma guanggarien.,"Something made a sound, he looked around."
Utunca yume guarten.,That man from Buton is light-skinned.
Mu gulasat per neko keit.,They are keeping an eel in water.
An gulasiat paningde minggi sor kuarkin.,"I'm asking for galangal, I want to cook fish with that."
Guru-guru boi koyet libur.,"All the teachers are gone, (the kids are) free."
Wiseme mu gusigia perjie.,"Before, they fetched water with a spoon."
Nauwar som gosominda me haidak?,Is it the news that someone disappeared true?
Darfin muara halar.,(We) married Darfin and his wife.
Mu tamatkoa hidupte beset ma he me.,Wherever they live it's okay.
Ma taikonggo ime.,He at that side.
An toni Keica dodonat iarte.,I told Keica to hold the clothes.
Mu Wer iarkoa min.,The sleep in the cave at Wer.
Bakri emun mu bo ibanruo reba.,Bakri's mother and family go searching for worms.
Sar iemuna kararcie.,The fish's gall bladder exploded.
Mustafa emunbon Abdula emunbon miera bot.,Mustafa's mother and Abdula's mother left together.
"Sontum ikon bo watsara, ikon bo war weinun.","Some people went harvesting coconuts, some went fishing."
Im sontur-sontur bo reidak.,There are many types of banana.
Im selen me arun temun.,The/that selen-banana is a big tree.
Imanana ma me temun.,The giant trevally is big.
"Et kon Pakpaka mahara, sontum imbuang.",A canoe came from Fakfak with many people.
Somkona imene.,That one person.
Imol met bo potmeiǃ,Cut that banana leaf!
In bo tabuonkajie reba.,We go pick shells.
Ma me inun kahen.,She has a long name.
Esa inggon donpat jadi dodon reidak.,Our father sewed clothing so (we had) many clothes.
"Ma Inggrismangat gonggin, an komahal.","She knows English, I don't."
Nina irarparuo reba.,Grandmother is making a mat.
"Irausi na, Dela esun mua ramie.","The trevally bit, Dela's father and associates caught it."
Tumun imene iren nain Jawasontumgap.,That kid is white like a Javanese.
Mu naukia mu irie.,They are eight siblings.
Ladanan me bungaun iriskap.,I have a shirt with a white pattern.
Pak Sam mu bo masura isisat komain.,Mister Sam and associates go fishing to stab stingrays.
Kadoun me bungaun istrep-istrep.,That cloth has a striped pattern.
Tami esun mu istup me tehelara mu di ra.,Tami's father and family are installing tiles on their terrace.
Iwora ma me kokowara na.,The lizard ate a chicken.
Jikri Alunat jagare tuin.,"Jikri is watching Alun, he wants to hit him."
Setiap ariemun jam kaninggonie in bo karajang bakti.,Every Friday at nine we do chores together.
Som yumene jangkutbon weinun.,That person has a beard too.
Binkur esun bo war jarutu reba ba sor natnin.,Binkur's father goes fishing but the fish don't bite.
Jawawas kon jawaca eir mu yonsonggia luk.,A Javanese woman and two Javanese men came by motor boat.
Mayora sirie Salima taraun jendela paruo.,Mayor ordered Salima's grandfather to make a window.
Kalamang emun mu bo distrika dodonjie.,Kalamang's mother went to the mainland to buy stuff.
Som ime jimkanggeit reba.,That person is playing for ghost.
Sakina emun jongsongat bisa kinkin.,Sakina's mother can steer a motor boat.
Mu he kelaka gonggung.,They called from the mainland.
Wie yume he kababur.,That mango already has fruit sets.
Supri esun bo kabaruapmarok teba.,Supri's father goes fishing for grouper.
Abdula esun barauap kerkapkap wara ramie.,Abdula's father caught a red grouper.
Kabaruap gotamtam me Gowien me reidak.,There are many roving coral groupers at Gowien.
"An mat sirie ma bo met rep, ma koi kabasi rep.","I ordered him to get that, he got something else."
Madi emun yartupta kabasur lalat.,"Madi's mother went fishing with poison under stones, a pufferfish died."
An muawat komera an se narasa kabor.,(If) I look at food I already feel full.
"An kewenggara yecietkin, kaboran se lalang.","I want to go back home, I'm hungry."
Pas yume he kaborko pak raman.,That woman is six months pregnant.
Fikri me kabornara mat paruo.,Fikri's bothered by a stomach illness.
Dela sor kabunara jie.,Dela is gutting fish.
Wat ma me kaburun reidak.,The coocnut has many small fruits.
Madi emuna kadamtup.,Madi's mother goes fishing striped eel catfish.
"An mat kademor, an mat ninan kurang.","I'm mad at her, I don't feel good about her."
"Saiilima emun kadenun tur, kaden cicaun.","Salima's mother lost weight, she's small."
Ma kadenunbon nakalunbonat malingi taikon.,"He has his body and his head at an angle, to one side."
Malik kaden kiesun ning.,Malik has an illness in his veins.
Tumunan kaden lalang weinun.,My kid is feverish again.
Jawaca yumene ma kadenenun kahen.,That Javanese man has long body hair.
Kadera yume gedungkin.,That chair belongs to the village building.
Emumur Tamisenkadok toni...,The women from Antalisa said...
"An yar kerunggo melalu, kahamanan ning.","I sat on a stone, my bottom hurts."
Som yumene kahamanpos luas.,That person has a wide anus.
Os Kamburkadok me kahen.,The beach at Kambur is long.
Sakina waruotkinde ladanunara kahetma.,"Sakina wants to swim, she takes of her clothes."
Fatima mu bo kairep teba.,Fatima and family go collect firewood.
Wa me kariak kaia kon untuk emumur kalo tumun amkeiret mu wara nanet.,"This is blood medicine for mothers, when they have given birth they drink this."
Kai kala pusunara welekuar.,Kai kala plant's flowers (can be) cooked (like) vegetables.
Kai modar me arun se temun.,The marungga tree has become big.
Kai taul me parairte lele.,The cannonball tree broke and flew away.
Kewe ma me kain.,That is your house.
Kainasu me tok sawaunin.,The ananas isn't ripe yet.
Baki Tanggiun me kaituki kuskapten me reidak.,At Baki Tanggiun there are many black shells.
In bo tabuonkajie reba Maska.,We go pick shells at Mas.
Im ewun me kalabet reidak.,There are many earthworms at the banana tree.
Kalamang lempuang owane.,Kalamang island is over there.
Kiba emun mu kalaorun temun.,Kiba's mother's family has a big area in front of the house.
Kalap karimun owane.,The sugarcane cape is overthere.
Tabuon wa me se iriskapte kalarten. Muap se kalar.,The food is ready.
Tumun me kalawensawe.,That child is very soft.
Ma kaleuna ning.,He has a kidney-disease.
Afdal mu bora et kalingda emun sem.,"Afdal and his frends went to shake the canoe, his mother was afraid."
Tol esun kalingjiere bo warkin.,"Tol's father buys fishing hooks, he wants to go fishing."
Unyil emun mu kaling temun se durcie.,Unyil's mother's big frying pan has a hole.
Ruslan taraun kaliwat kewe mulko kawaya.,Ruslan's grandmother planted root vegetables next to the house.
Kaliskin ye ge?,Will it rain?
Kalis our.,It's raining.
Kalis sasarawe.,It's drizzling.
Kalis tanggira he osangga bara urat namot.,The rainbow that comes down from there blocks the wind.
Suo me kalkalet reidak.,At Suo there are many mosquitos.
Bayu keweun me kalot eir.,Bayu's house has two rooms.
Moktar esun Terarko warat kalour.,Moktar's father prohibited the harvest of his coconuts at Terar.
Supri emun kalunguna gosomin.,Supri's mother's necklace disappeared.
Ma reitkon purawi anat kamaet.,She sent me one hundred fifty [thousand] rupiah.
Abas emun mu kaman karimunggoa amdirat paruo.,Abas's mother's family are making a garden on the cape with grass.
Sara kaman mat paruo bolun patiwatin.,"Sara is affected by kaman-disease, her lips are sore."
Alun mu kamandikomainde natkin.,Alun's family are stabbing kamandi to eat.
Moktar esun me kamanget.,Moktar's father is a medicine man.
Toran me kamaser reidak.,At Toran there are many orchids.
Dian esun mu Kambala owa fer paruo.,Dian's father's family are putting up fish traps at Kambala.
Kambanau me tanggor nenekoa reidak.,There are many waspfish in the mangrove.
Irjan esun kamel komain.,Irjan's father stabbed a stingray.
Muklis esun kamelkir etkoni komain.,Muklis's father stabbed one black-spotted stingray.
Mama Jawa turi pasieko ma kamen.,"Mother Java fell in the sea, she's wet."
Hawa kamfor giartenat koni jie.,Hawa bought one new stove.
Madi emun kamualpotma minggi sorkiskin.,Madi's mother cuts pandanus to wrap fish with.
Tumtum loskerunggo kamuamual marok teba.,The kids are fishing needlefish from the dock.
Esa me he kamun.,Father is a widower.
Kamung sakarip se gosomin.,The iron of the dibble stick is gone.
Kanaisasen epbon.,A school of striped fish.
Nyong esun mu Kanstanganggoa kibi paruo.,Nyong's mother and they are processing sea cucumbers at Kanastangan.
"Sor me kangun reidak, an sukanangge.","That fish has a lot of bones, I don't like it."
Mayor sadawaun me kang.,Mayor's machete is sharp.
Mun kanguna Dalimat komain.,A lime thorn pricked Dalima.
Arlan taraun kanggaranpale reba.,Arlan's grandfather is weaving a bamboo floor.
Tamandia pasierko kanggeit.,Tamandi is playing in the sea.
Kanggirun patin.,She has a wound on her eye.
Ma kanggir nenen mawal.,He has thick eyelashes.
"Go he saun, Dalima he kanggir pop.","It's evening, Dalima is tired."
Suci kanggir pulun patin.,Suci has a wound on her eyelid.
Tumun yumene kanggirun saun.,That kid is blind.
Jawawas yumene kanggirar laus bolon.,That Javanese woman has a slightly broad face.
Rajiba emun kanggir narun ning.,Rajiba's mother's eyeball hurts.
Fit pasat kuarta kangguar.,Fit cooked rice (but) it's undercooked.
Nazuwa kanggurun temun.,Nuzuwa has a big mouth.
"Mayor muawi koyet, ma kanggursau reba.","Mayor has finished eating, he's rinsing his mouth."
Nostal et kanggurunara desil.,Nostal is planing the inside of the canoe.
An ketelesat nara kanggusan nauware.,"I'm eating maize, my jaw is tired."
Madi emun kiemkangjie.,Madi's mother is sewing the rim of a basket.
Ngais turta kor kangun nerunggo ning.,"Ngais fell, the inside of her leg bone hurts."
Hukat kon anggon yua me paruo dongdongkaning.,"This fishnet of mine, make it very tense."
"Kokok tumtum et putkon ba etkon lalat, tok et kaninggonie.","There were ten chicks, but one died, there are still nine."
Kanung me ma kat nenekoa tua.,The tortoise lives inside a lake.
Esa anggon me kanusun se raman.,My father already has six ancestors.
Sara bo kanyuotkowar teba.,Sara is diving for clams
Ladanan ma me he kap.,My shirt is rotten.
Ya olun lenggalenggainggap.,Its leaves are like chili's leaves.
Wiseme in tok kinkinun me kapal rorjie in tok wa ba kona.,"Before when we were still young, we went to watch the ship that came to buy wood."
Kapapet me kewe sabarak inggon me reidak.,There are many glassy sweepers under our house.
Som yume kapis mat na.,That person is suffering from scabies.
Et me karainkin ye?,Is that your own canoe?
Supri esun kewekarajang deba.,Supri's father is building a house.
Ma donpaningde kuat ba ma karamesnin.,"He's always asking for stuff, he isn't shy."
Ror wa me karan.,That wood is hard.
Panggala yuwa me karaok.,This cassava is crushed.
Dian emun me kadenun temun ba ma he karaonggis.,Dian's mother had a big body but she's thin again.
Karek mat kokarap.,The rope is wrapped around it.
Karariem epkona ram neko.,There is a school of surgeonfish in the coral.
In metko mambarar kip mengga tiri mia in kararu.,"We were standing there, a snake came slithering, we ran off."
"Burhan sarimat sarara, karabar reidak.","Burhan climbed the guava, there were many red ants."
Musim kemanur me kareng se mambon.,When it is west wind season there are frogs.
Bobi emun sortupta karer korek.,"Bobi's mother is poisoning fish, the karer fish died."
Esnem desa rorat wuorma eba ma karok.,"The village head cut down a tree, then he cut off the branches."
Wie ime karoun ur koura ma kawarcie.,"That mango, the wind blew and its branch broke off."
Halima rusat karop.,Halima shot a deer with an arrow.
Tanisa kerung me saunet me karop reidak.,"In the tanisa tree, when it's evening there are many fireflies."
Mena se go girgriet me karop-karop se ewa.,Later in the afternoon the bee-eaters call.
Dian taraun bo warkin ba ma tok kararjie reba.,Dian's grandmother wanted to go fishing but she went collecting hermit crabs first.
An sorat karuar.,I smoke-dry fish.
An sorat karuoi sair.,I bake three fish.
Sakina tanun tektek kosara karyak.,"A knife hit Sakina's hand, there was blood."
Mustafa emun mu kasabiti reidak.,Mustafa's mother and family have many squashes.
Irjan esun kasalong kein deba.,Irjan's father is making a two-pointed spear.
Kasamina ewa.,The bird is calling.
Gowien me kasawari reidak.,At Gowien there are many cassowary's.
Lamani esun rorara kasep.,Lamani's father is marking wood.
Suagi laurta kaskas bara kanggeit.,The tuna play at the water surface; the seagulls come down to play (i.e. eat).
Abdula emun kasomkararma reba.,Abdula's mother is breaking tusk shells.
An kasorara kaware naramaste na.,"I'm scraping merbau tree, squeezing and drinking it."
Kasur in bo Tamisengga nahalarkin Anafia mu.,Tomorrow we go to Antalisa to marry Anafia and spouse.
Malik mu bo kasutpotma reba.,Malik and family are cutting bamboo.
Namandar katka ra in bo war.,To Namandar Lake we go fishing
